index	name
4	Left-Lateral-Ventricle
5	Left-Inf-Lat-Vent
7	Left-Cerebellum-White-Matter
8	Left-Cerebellum-Cortex
10	Left-Thalamus
11	Left-Caudate
12	Left-Putamen
13	Left-Pallidum
14	3rd-Ventricle
15	4th-Ventricle
16	Brain-Stem
17	Left-Hippocampus
18	Left-Amygdala
24	CSF
26	Left-Accumbens-area
28	Left-VentralDC
30	Left-vessel
31	Left-choroid-plexus
43	Right-Lateral-Ventricle
44	Right-Inf-Lat-Vent
46	Right-Cerebellum-White-Matter
47	Right-Cerebellum-Cortex
49	Right-Thalamus
50	Right-Caudate
51	Right-Putamen
52	Right-Pallidum
53	Right-Hippocampus
54	Right-Amygdala
58	Right-Accumbens-area
60	Right-VentralDC
62	Right-vessel
63	Right-choroid-plexus
85	Optic-Chiasm
251	CC_Posterior
252	CC_Mid_Posterior
253	CC_Central
254	CC_Mid_Anterior
255	CC_Anterior
1001	ctx-lh-bankssts
1002	ctx-lh-caudalanteriorcingulate
1003	ctx-lh-caudalmiddlefrontal
1005	ctx-lh-cuneus
1006	ctx-lh-entorhinal
1007	ctx-lh-fusiform
1008	ctx-lh-inferiorparietal
1009	ctx-lh-inferiortemporal
1010	ctx-lh-isthmuscingulate
1011	ctx-lh-lateraloccipital
1012	ctx-lh-lateralorbitofrontal
1013	ctx-lh-lingual
1014	ctx-lh-medialorbitofrontal
1015	ctx-lh-middletemporal
1016	ctx-lh-parahippocampal
1017	ctx-lh-paracentral
1018	ctx-lh-parsopercularis
1019	ctx-lh-parsorbitalis
1020	ctx-lh-parstriangularis
1021	ctx-lh-pericalcarine
1022	ctx-lh-postcentral
1023	ctx-lh-posteriorcingulate
1024	ctx-lh-precentral
1025	ctx-lh-precuneus
1026	ctx-lh-rostralanteriorcingulate
1027	ctx-lh-rostralmiddlefrontal
1028	ctx-lh-superiorfrontal
1029	ctx-lh-superiorparietal
1030	ctx-lh-superiortemporal
1031	ctx-lh-supramarginal
1032	ctx-lh-frontalpole
1033	ctx-lh-temporalpole
1034	ctx-lh-transversetemporal
1035	ctx-lh-insula
2001	ctx-rh-bankssts
2002	ctx-rh-caudalanteriorcingulate
2003	ctx-rh-caudalmiddlefrontal
2005	ctx-rh-cuneus
2006	ctx-rh-entorhinal
2007	ctx-rh-fusiform
2008	ctx-rh-inferiorparietal
2009	ctx-rh-inferiortemporal
2010	ctx-rh-isthmuscingulate
2011	ctx-rh-lateraloccipital
2012	ctx-rh-lateralorbitofrontal
2013	ctx-rh-lingual
2014	ctx-rh-medialorbitofrontal
2015	ctx-rh-middletemporal
2016	ctx-rh-parahippocampal
2017	ctx-rh-paracentral
2018	ctx-rh-parsopercularis
2019	ctx-rh-parsorbitalis
2020	ctx-rh-parstriangularis
2021	ctx-rh-pericalcarine
2022	ctx-rh-postcentral
2023	ctx-rh-posteriorcingulate
2024	ctx-rh-precentral
2025	ctx-rh-precuneus
2026	ctx-rh-rostralanteriorcingulate
2027	ctx-rh-rostralmiddlefrontal
2028	ctx-rh-superiorfrontal
2029	ctx-rh-superiorparietal
2030	ctx-rh-superiortemporal
2031	ctx-rh-supramarginal
2032	ctx-rh-frontalpole
2033	ctx-rh-temporalpole
2034	ctx-rh-transversetemporal
2035	ctx-rh-insula
3001	wm-lh-bankssts
3002	wm-lh-caudalanteriorcingulate
3003	wm-lh-caudalmiddlefrontal
3005	wm-lh-cuneus
3006	wm-lh-entorhinal
3007	wm-lh-fusiform
3008	wm-lh-inferiorparietal
3009	wm-lh-inferiortemporal
3010	wm-lh-isthmuscingulate
3011	wm-lh-lateraloccipital
3012	wm-lh-lateralorbitofrontal
3013	wm-lh-lingual
3014	wm-lh-medialorbitofrontal
3015	wm-lh-middletemporal
3016	wm-lh-parahippocampal
3017	wm-lh-paracentral
3018	wm-lh-parsopercularis
3019	wm-lh-parsorbitalis
3020	wm-lh-parstriangularis
3021	wm-lh-pericalcarine
3022	wm-lh-postcentral
3023	wm-lh-posteriorcingulate
3024	wm-lh-precentral
3025	wm-lh-precuneus
3026	wm-lh-rostralanteriorcingulate
3027	wm-lh-rostralmiddlefrontal
3028	wm-lh-superiorfrontal
3029	wm-lh-superiorparietal
3030	wm-lh-superiortemporal
3031	wm-lh-supramarginal
3032	wm-lh-frontalpole
3033	wm-lh-temporalpole
3034	wm-lh-transversetemporal
3035	wm-lh-insula
4001	wm-rh-bankssts
4002	wm-rh-caudalanteriorcingulate
4003	wm-rh-caudalmiddlefrontal
4005	wm-rh-cuneus
4006	wm-rh-entorhinal
4007	wm-rh-fusiform
4008	wm-rh-inferiorparietal
4009	wm-rh-inferiortemporal
4010	wm-rh-isthmuscingulate
4011	wm-rh-lateraloccipital
4012	wm-rh-lateralorbitofrontal
4013	wm-rh-lingual
4014	wm-rh-medialorbitofrontal
4015	wm-rh-middletemporal
4016	wm-rh-parahippocampal
4017	wm-rh-paracentral
4018	wm-rh-parsopercularis
4019	wm-rh-parsorbitalis
4020	wm-rh-parstriangularis
4021	wm-rh-pericalcarine
4022	wm-rh-postcentral
4023	wm-rh-posteriorcingulate
4024	wm-rh-precentral
4025	wm-rh-precuneus
4026	wm-rh-rostralanteriorcingulate
4027	wm-rh-rostralmiddlefrontal
4028	wm-rh-superiorfrontal
4029	wm-rh-superiorparietal
4030	wm-rh-superiortemporal
4031	wm-rh-supramarginal
4032	wm-rh-frontalpole
4033	wm-rh-temporalpole
4034	wm-rh-transversetemporal
4035	wm-rh-insula
5001	Left-UnsegmentedWhiteMatter
5002	Right-UnsegmentedWhiteMatter
